ALU | 0x04             | add32 dst, imm        | dst += imm
ALU | 0x07             | add dst, imm          | dst += imm
ALU | 0x0c             | add32 dst, src        | dst += src
ALU | 0x0f             | add dst, src          | dst += src
ALU | 0x14             | sub32 dst, imm        | dst -= imm
ALU | 0x17             | sub dst, imm          | dst -= imm
ALU | 0x18             | lddw dst, imm         | dst = imm
ALU | 0x1c             | sub32 dst, src        | dst -= src
ALU | 0x1f             | sub dst, src          | dst -= src
ALU | 0x24             | mul32 dst, imm        | dst *= imm
ALU | 0x27             | mul dst, imm          | dst *= imm
ALU | 0x2c             | mul32 dst, src        | dst *= src
ALU | 0x2f             | mul dst, src          | dst *= src
ALU | 0x34             | div32 dst, imm        | dst /= imm
ALU | 0x37             | div dst, imm          | dst /= imm
ALU | 0x3c             | div32 dst, src        | dst /= src
ALU | 0x3f             | div dst, src          | dst /= src
ALU | 0x44             | or32 dst, imm         | dst \|= imm
ALU | 0x47             | or dst, imm           | dst \|= imm
ALU | 0x4c             | or32 dst, src         | dst \|= src
ALU | 0x54             | and32 dst, imm        | dst &= imm
ALU | 0x57             | and dst, imm          | dst &= imm
ALU | 0x5c             | and32 dst, src        | dst &= src
ALU | 0x5f             | and dst, src          | dst &= src
ALU | 0x64             | lsh32 dst, imm        | dst <<= imm
ALU | 0x67             | lsh dst, imm          | dst <<= imm
ALU | 0x6c             | lsh32 dst, src        | dst <<= src
ALU | 0x6f             | lsh dst, src          | dst <<= src
ALU | 0x74             | rsh32 dst, imm        | dst >>= imm (logical)
ALU | 0x77             | rsh dst, imm          | dst >>= imm (logical)
ALU | 0x7f             | rsh dst, src          | dst >>= src (logical)
ALU | 0x84             | neg32 dst             | dst = -dst
ALU | 0x87             | neg dst               | dst = -dst
ALU | 0x94             | mod32 dst, imm        | dst %= imm
ALU | 0x97             | mod dst, imm          | dst %= imm
ALU | 0x9c             | mod32 dst, src        | dst %= src
ALU | 0x9f             | mod dst, src          | dst %= src
ALU | 0xa4             | xor32 dst, imm        | dst ^= imm
ALU | 0xa7             | xor dst, imm          | dst ^= imm
ALU | 0xac             | xor32 dst, src        | dst ^= src
