00000000 D_R               X                X                X                X                X                X                X                X
00000000 D_R               0                0                0                0                0                0                0                0
00000000 D_R               0                0                0                0                0                0                0                0
00000000 D_R               0                0                0                0                0                0                0                0
00000000 D_R               0                0                0                0                0                0                0                0
00000000 D_R               0                0                0                0                0                0                0                0
00000001 D_R               0                0                0                0                0                0                0                0
00000002 D_R               0                0                0                0                0                0                0                0
00000003 D_R               4                4                4                4                4                4                4                4
00000004 D_R               4                4                4                4                4                4                4                4
00000005 D_R               4                4                4                4                4                4                4                4
00000006 D_R               4                4                4                4                4                4                4                4
00000007 D_R               4                4                4                4                4                4                4                4
00000008 D_R               4                4                4                4                4                4                4                4
00000009 D_R               4                4                4                4                4                4                4                4
0000000A D_R               0                0                0                0                0                0                0                0
0000000B D_R               0                0                0                0                0                0                0                0
