00000000 SYL XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXX
00000000 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000000 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000000 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000000 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000000 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000001 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000002 SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
00000003 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000004 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000005 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000006 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000007 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000008 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
00000009 SYL 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400 000000000000B400
0000000A SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
0000000B SYL 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000
